epoch,train_loss,val_loss,learning_rate
1,59648.468984375,44586.857,0.002
2,38158.9916015625,32931.17234375,0.002
3,31520.26394921875,27826.65534375,0.002
4,27237.93778125,24686.906,0.002
5,25017.9440546875,22666.32090625,0.002
6,23445.59090625,22440.06340625,0.002
7,22286.72826171875,21348.637421875,0.002
8,21328.08239453125,21386.17584375,0.002
9,20752.25653515625,20003.782984375,0.002
10,20096.31918359375,19733.544171875,0.002
11,19714.514341796876,18907.1901953125,0.002
12,18856.399703125,18785.92709375,0.002
13,18867.719310546876,18670.7186875,0.002
14,18297.714234375,18158.439203125,0.002
15,18020.151638671876,18137.038703125,0.002
16,17798.021931640626,18083.7822421875,0.002
17,17776.890306640624,17414.83990625,0.002
18,17286.6001171875,17285.8100390625,0.002
19,17151.83699609375,17650.5438046875,0.002
20,17048.0421328125,17241.568609375,0.002
21,16869.241923828125,17052.6811171875,0.002
22,16549.169548828126,17081.0146015625,0.002
23,16456.18713671875,16880.873359375,0.002
24,16264.121220703126,16872.7448203125,0.002
25,16589.102931640624,16731.4580703125,0.002
26,15975.395431640625,16584.7148984375,0.002
27,15790.49391015625,16274.41740625,0.002
28,15842.71234375,16556.9963125,0.002
29,15844.93647265625,16192.4104609375,0.002
30,15655.405755859376,16509.2244765625,0.002
31,15549.08305859375,16577.8294453125,0.002
32,15381.502892578124,16018.69159375,0.002
33,15329.302802734375,16223.348125,0.002
34,15234.348662109374,16284.9337265625,0.002
35,15068.696904296876,15787.068296875,0.002
36,15044.146599609376,15966.3019921875,0.002
37,15034.593451171875,15931.081953125,0.002
38,15002.88294140625,15868.3064140625,0.002
39,14857.333927734375,15795.346890625,0.002
40,14739.24859765625,15812.0319609375,0.002
41,14590.750701171875,15594.377375,0.002
42,14451.632658203125,15530.3858203125,0.002
43,14657.234232421875,15883.3804375,0.002
44,14607.85991796875,15466.3471953125,0.002
45,14605.327765625,15869.6066875,0.002
46,14598.07518359375,15602.732515625,0.002
47,14530.232189453125,15691.084125,0.002
48,14340.1921015625,15311.395734375,0.002
49,14341.914591796874,15822.175796875,0.002
50,14377.129201171874,16067.6378828125,0.002
51,14268.5617109375,15437.7973828125,0.002
52,14183.821998046875,15362.344609375,0.002
53,14069.2891328125,15543.554,0.002
54,14014.222291015625,15591.1324453125,0.002
55,14106.45775,15560.1895390625,0.002
56,14012.051947265625,15824.8630859375,0.002
57,14213.481208984374,15707.3916640625,0.002
58,13929.470990234375,15294.1411484375,0.002
59,13835.43349609375,15150.8298515625,0.002
60,13847.923875,15375.592109375,0.002
61,13930.378494140625,15654.814375,0.002
62,13991.7697734375,15161.2750234375,0.002
63,13807.5234921875,15459.3619140625,0.002
64,13861.686541015624,15310.2777578125,0.002
65,13697.694177734375,15755.612953125,0.002
66,13756.756375,15373.268984375,0.002
67,13713.81290234375,15225.909203125,0.002
68,13748.7240078125,15808.934796875,0.002
69,13517.201591796875,14995.1115234375,0.002
